City,Country,Wind Speed,Cloudiness,Max Temperature,Humidity,Lattitude,Longitude,Date
Mbamba,NG,6.64,100,70.86,93,9.9833,13.1,1627301256
Torbay,CA,1.01,96,59.76,96,47.6666,-52.7314,1627301137
Pedra Branca,BR,10.4,6,76.68,59,-5.4542,-39.7172,1627301256
Mataura,NZ,7.72,100,48.47,94,-46.1927,168.8643,1627301256
Kruisfontein,ZA,19.42,100,73.89,21,-34.0033,24.7314,1627301257
Punta Arenas,CL,20.71,0,39.31,87,-53.15,-70.9167,1627301257
Bluff,NZ,18.39,100,48.79,75,-46.6,168.3333,1627301257
Antalaha,MG,13.73,97,72.77,73,-14.9003,50.2788,1627301257
Port Blair,IN,19.62,91,82.49,83,11.6667,92.75,1627301258
Kaitangata,NZ,9.62,100,47.17,90,-46.2817,169.8464,1627301258
Sibu,MY,2.39,86,78.8,91,2.3,111.8167,1627301258
Ankang,CN,3.02,34,78.26,84,32.68,109.0172,1627301259
Stafford,GB,5.55,37,77.38,39,52.8052,-2.1164,1627301259
Ugoofaaru,MV,11.65,100,81.66,78,5.6667,73,1627301260
Lamu,KE,23.44,70,79.02,67,-2.2717,40.902,1627301260
Abu Dhabi,AE,11.5,30,104.11,47,24.4667,54.3667,1627301105
Buenos Aires,AR,5.75,0,50.95,71,-34.6132,-58.3772,1627301129
Vaini,TO,4.21,96,75.29,81,-21.2,-175.2,1627301261
Anloga,GH,15.32,26,79.47,70,5.7947,0.8973,1627301261
Rikitea,PF,15.3,84,72.32,79,-23.1203,-134.9692,1627301262
Port Elizabeth,ZA,16.22,99,76.1,25,-33.918,25.5701,1627300999
Cidreira,BR,3.96,100,63.43,94,-30.1811,-50.2056,1627301262
Castro,BR,4.23,0,62.2,52,-24.7911,-50.0119,1627301263
Laas,IT,4.29,84,70.54,83,46.6166,10.7002,1627301263
Kapaa,US,11.5,75,79.12,84,22.0752,-159.319,1627301204
San Cristobal,VE,2.24,98,68.18,91,7.7669,-72.225,1627301264
Qaanaaq,GL,8.7,86,40.84,61,77.484,-69.3632,1627301264
Klaksvík,FO,9.01,84,56.32,90,62.2266,-6.589,1627301174
Jamestown,US,1.01,1,70.3,98,42.097,-79.2353,1627301264
Dakar,SN,9.75,36,79,77,14.6937,-17.4441,1627300994
Borova,UA,5.32,73,86.58,41,50.1763,30.1043,1627301265
Barrow,US,10.36,90,37.42,98,71.2906,-156.7887,1627301265
Big Spring,US,5.75,1,74.68,66,32.2504,-101.4787,1627301265
Hilo,US,0,90,73.8,94,19.7297,-155.09,1627301266
Bambanglipuro,ID,8.34,55,75.85,81,-7.95,110.2833,1627301266
Saint George,US,1.01,1,78.64,70,37.1041,-113.5841,1627301266
Butaritari,KI,6.49,100,80.08,79,3.0707,172.7902,1627301266
Ushuaia,AR,4.61,90,31.66,100,-54.8,-68.3,1627301029
Bambous Virieux,MU,12.44,15,73.22,69,-20.3428,57.7575,1627301267
Bay Roberts,CA,1.01,96,60.51,87,47.5999,-53.2648,1627301267
Sur,OM,12.62,21,97.79,48,22.5667,59.5289,1627301268
Christchurch,NZ,4,73,51.48,87,-43.5333,172.6333,1627301061
Sørland,NO,9.55,84,57.27,83,67.667,12.6934,1627301268
Bredasdorp,ZA,6.08,100,68.94,51,-34.5322,20.0403,1627301268
Dicabisagan,PH,5.32,100,84.38,76,17.0818,122.4157,1627301269
Touros,BR,16.89,20,76.1,66,-5.1989,-35.4608,1627301269
Longyearbyen,SJ,16.11,75,44.44,81,78.2186,15.6401,1627301269
Poum,NC,18.1,17,71.04,71,-20.2333,164.0167,1627301270
Westport,US,4,1,75.88,93,41.1415,-73.3579,1627301270
Puerto Ayora,EC,5.01,65,70.56,88,-0.7393,-90.3518,1627301270
Lebu,CL,11.07,4,42.53,78,-37.6167,-73.65,1627301271
Sangar,RU,6.17,3,73.26,62,63.9242,127.4739,1627301271
High Level,CA,3.44,1,48.31,100,58.5169,-117.136,1627301271
Roald,NO,11.5,0,83.16,82,62.5833,6.1333,1627301272
Norman Wells,CA,8.93,100,53.8,92,65.282,-126.8329,1627301272
Uribia,CO,4.88,82,79.34,81,11.7139,-72.266,1627301272
Albany,US,2.89,0,70.63,95,42.6001,-73.9662,1627301273
Asău,RO,5.32,7,86.76,31,46.4333,26.4,1627301273
Ippy,CF,6.76,100,75.22,85,6.2679,21.2247,1627301273
Chui,UY,7.14,100,53.65,88,-33.6971,-53.4616,1627301274
Nālūt,LY,9.35,0,96.57,12,30.3333,10.85,1627301274
Ponta do Sol,PT,1.61,0,78.01,75,32.6667,-17.1,1627301274
Menzel Salem,TN,16.44,14,101.89,8,35.8567,8.4765,1627301275
Ozernovskiy,RU,7.83,82,58.64,95,51.5,156.5167,1627301275
Esperance,AU,18.61,52,53.44,72,-33.8667,121.9,1627301275
Mar del Plata,AR,1.01,47,44.13,44,-38.0023,-57.5575,1627301276
Albury,AU,0,90,49.91,93,-36.0833,146.9167,1627301276
Taormina,IT,3.6,7,95.4,40,37.8536,15.2885,1627301276
Fortuna,US,0,90,53.94,96,40.5982,-124.1573,1627301277
Bethel,US,1.01,1,73.98,91,41.3712,-73.414,1627301151
Pevek,RU,12.37,12,34.48,93,69.7008,170.3133,1627301277
Husavik,IS,5.7,17,59.05,50,66.0449,-17.3389,1627301277
Kirakira,SB,9.55,80,78.19,83,-10.4544,161.9205,1627301278
Bathsheba,BB,16.11,40,84.81,74,13.2167,-59.5167,1627301278
Hithadhoo,MV,9.26,99,81.77,76,-0.6,73.0833,1627301183
Guerrero Negro,MX,9.26,16,66.36,87,27.9769,-114.0611,1627301278
Port Alfred,ZA,9.64,86,74.73,28,-33.5906,26.891,1627301279
Pochutla,MX,4.76,88,76.82,88,15.7432,-96.4661,1627301279
Busselton,AU,29.93,86,60.08,77,-33.65,115.3333,1627301279
Hong Kong,HK,1.01,83,88.32,83,22.2855,114.1577,1627301052
Port Hardy,CA,1.57,75,56.79,95,50.6996,-127.4199,1627301000
Thai Binh,VN,7.72,74,89.6,82,20.45,106.3333,1627301280
Peniche,PT,14.74,5,79.74,72,39.3558,-9.3811,1627301280
Wewak,PG,7.29,13,80.58,82,-3.5534,143.6268,1627301281
Ribeira Grande,PT,19.57,20,75.6,69,38.5167,-28.7,1627301281
Leningori,GE,8.5,57,81.91,44,42.126,44.4833,1627301281
Chokurdakh,RU,14.32,99,41,70,70.6333,147.9167,1627301282
Sambava,MG,16.51,95,72.09,76,-14.2667,50.1667,1627301282
East London,ZA,4.38,74,70.93,27,-33.0153,27.9116,1627301283
Hermanus,ZA,1.74,100,66.85,52,-34.4187,19.2345,1627301283
San Jose,US,1.99,1,63.91,82,37.3394,-121.895,1627301228
Saint Anthony,US,1.01,1,73.72,83,45.0205,-93.218,1627301284
Saskylakh,RU,8.21,71,59.23,62,71.9167,114.0833,1627301284
Umluj,SA,17.36,31,91.71,47,25.0213,37.2685,1627301284
Finschhafen,PG,7.81,79,76.68,85,-6.6024,147.8681,1627301285
Naze,JP,14.58,100,77.59,86,28.3667,129.4833,1627301285
Terenos,BR,11.5,0,80.31,41,-20.4422,-54.8603,1627301285
Carutapera,BR,8.01,35,82.62,73,-1.195,-46.02,1627301286
Richards Bay,ZA,13.6,1,72.46,41,-28.783,32.0377,1627301253
Shar,KZ,16.49,8,88.52,32,49.5886,81.0453,1627301286
Fort Nelson,CA,5.75,75,54.99,88,58.8053,-122.7002,1627301286
Buala,SB,7.27,99,79.77,83,-8.145,159.5921,1627301287
Matara,LK,13.4,91,81.14,82,5.9485,80.5353,1627301287
São Filipe,CV,1.43,48,75.61,72,14.8961,-24.4956,1627301287
Ancud,CL,6.6,74,35.13,76,-41.8697,-73.8203,1627301288
Saint Paul Harbor,US,4.7,34,48.96,94,57.79,-152.4072,1627301288
Manatí,PR,7.81,97,84.09,87,18.4275,-66.4921,1627301288
Portland,US,1.01,20,63.36,83,45.5234,-122.6762,1627300812
Nekhayevskiy,RU,5.32,39,82.98,31,50.4106,41.7561,1627301289
Ilulissat,GL,5.75,75,51.82,40,69.2167,-51.1,1627301289
Sinnamary,GF,5.77,24,79.29,85,5.3833,-52.95,1627301289
Nanortalik,GL,9.64,93,49.33,63,60.1432,-45.2371,1627301290
Geraldton,AU,26.46,90,68.41,83,-28.7667,114.6,1627301290
Hobart,AU,1.01,40,54.91,65,-42.8794,147.3294,1627301122
Andenes,NO,4.61,75,61.47,87,69.3143,16.1194,1627301291
Gornopravdinsk,RU,6.22,99,65.97,45,60.05,69.9,1627301291
Zalţan,LY,14.47,0,94.89,30,32.947,11.8665,1627301291
Constitución,CL,6.58,94,50.41,91,-35.3333,-72.4167,1627301291
Traverse City,US,0,20,71.35,78,44.7631,-85.6206,1627301090
Aklavik,CA,3.76,100,52.52,90,68.2191,-135.0107,1627301292
Paamiut,GL,9.55,89,45.81,79,61.994,-49.6678,1627301292
Upernavik,GL,6.49,100,44.82,60,72.7868,-56.1549,1627301293
Timrå,SE,13.8,23,83.91,50,62.487,17.3257,1627301293
